,Product_name,Prices,Description,Reviews
0,MOTOROLA 80 cm (32 inch) HD Ready LED Smart Google TV,"₹9,999",Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty,4.2
1,MOTOROLA EnvisionX 140 cm (55 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision and Dolby Atm...,"₹29,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty,4.3
2,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV 2022 Edition with Bezel-free Design,"₹12,490",Operating System: TizenHD Ready 1366 x 768 PixelsLaunch Year: 20221 Year Comprehensive Warranty on Product and 1 Year Additional on Panel,4.3
3,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV,"₹14,490",Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20201 Years Warranty*: 1 Year Product Warranty Applicable from the 1st Feb - 29th Feb'24,4.3
4,Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition with HD |Dolby Audio | DTS:HD | ...,"₹12,490",Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.3
5,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV 2023 Edition with a5 AI Processor Gen5, Refresh Rate: 6...","₹14,990",Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20231 Years Warranty*: 1 Year Product Warranty Applicable from the 1st Feb - 29th Feb'24,4.3
6,MOTOROLA EnvisionX 109 cm (43 inch) Full HD LED Smart Google TV with Inbuilt Box Speakers,"₹17,999",Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty,4.2
7,MOTOROLA EnvisionX 165 cm (65 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision and Dolby Atm...,"₹39,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty,4.3
8,LG UR7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 AI Processor 4K Gen6 ...,"₹29,990",Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Years Warranty*: 1 Year Product Warranty Applicable from the 1st Feb - 29th Feb'24,4.4
9,SAMSUNG Crystal 4K iSmart Series 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV 2023 Edition,"₹27,490",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel provided by the brand from the date of purchase,4.3
10,MOTOROLA EnvisionX 140 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers,"₹28,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty,4.3
11,MOTOROLA EnvisionX 109 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers,"₹21,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty,4.3
12,Mi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision | HDR...,"₹25,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.3
13,Mi A series 100 cm (40 inch) Full HD LED Smart Google TV 2023 Edition with FHD | Dolby Audio | DTS : H...,"₹19,999",Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.3
14,Mi X Series 125 cm (50 inch) Ultra HD (4K) LED Smart Android TV 2022 Edition with 4K Dolby Vision | HD...,"₹30,999",Operating System: AndroidUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Warranty on Product and 2 Years Warranty on Panel OEM Warranty activation starts from the date of delivery,4.3
15,SONY Bravia 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition,"₹37,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Comprehensive Warranty by the manufacture from the date of purchase | Contact Brand toll free number for assistance and provide product's model name and seller's details mentioned on your invoice The service center will allot you a convenient slot for the service,4.6
16,SAMSUNG Crystal 4K iSmart Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV 2023 Edition,"₹42,490",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20232 years comprehensive warranty on product (1 year standard warranty and 1 year extended warranty provided by the brand from the date of purchase),4.3
17,MOTOROLA EnvisionX 127 cm (50 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers,"₹24,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty,4.3
18,Mi X Series 125 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision | HDR...,"₹32,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.3
19,SAMSUNG Crystal Vision 4K iSmart with Voice Assistant 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen T...,"₹28,990",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel,4.4
20,SONY 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition,"₹40,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on the Product,4.6
21,SONY 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition,"₹52,490",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Comprehensive Warranty,4.6
22,LG UR7500 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 AI Processor 4K Gen6 ...,"₹43,990",Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Years Warranty*: 1 Year Product Warranty Applicable from the 1st Feb - 29th Feb'24,4.4
23,SAMSUNG Crystal Vision 4K iSmart with Voice Assistant 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen T...,"₹44,990",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel,4.4
